1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
A643,Dry,Daylight: Street lights present,Other,Car,Serious
A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Serious
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A61,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
U,Frost/Ice,Daylight: Street lights present,Other,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Slight
M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Slight
A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
A58(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Slight
U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A660,Wet/Damp,Daylight: Street lights present,Fine with high winds,Pedal cycle,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Slight
A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Slight
A647,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
A657,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Slight
A61,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Pedal cycleCar,Slight
M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Frost/Ice,Darkness: No street lighting,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
B6159,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
B6157,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
A639,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
M621,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
B1271,Wet/Damp,Darkness: Street lights present and lit,Fog or mist (if hazard),Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
