,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
0,A643,Dry,Daylight: Street lights present,Other,Car,Serious
1,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
2,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
3,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
4,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
5,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
6,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
7,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
8,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
9,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
10,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
11,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
12,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
13,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
14,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
15,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
16,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
17,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
18,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Serious
19,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
20,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
21,A61,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
22,U,Frost/Ice,Daylight: Street lights present,Other,Car,Slight
23,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
24,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
25,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
26,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
27,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
28,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
29,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
30,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
31,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Slight
32,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Slight
33,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
34,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
35,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
36,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
37,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
38,A65,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
39,A58(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
40,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Slight
41,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Slight
42,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
43,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
44,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
45,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
46,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
47,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
48,A660,Wet/Damp,Daylight: Street lights present,Fine with high winds,Pedal cycle,Serious
49,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
50,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
51,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Slight
52,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Slight
53,A647,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
54,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
55,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
56,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
57,A657,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
58,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
59,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
60,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Slight
61,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
62,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
63,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
